month,gmsl_mm,steric_mm,csr_reference_ocean_mass_mm,custom_l3_ocean_mass_mm,forward_ocean_mass_mm,custom_l3_valid_month,custom_l3_reconstructed_month,custom_l3_effective_month,forward_valid_month,forward_reconstructed_month,forward_effective_month,gmsl_gia_corrected_input_mm,gmsl_gia_wtc_corrected_input_mm,custom_l3_gap_filled_input_mm,custom_l3_interpolated_month,gmsl_centered_mm,gmsl_smoothed_mm,gmsl_detrended_centered_mm,gmsl_detrended_smoothed_mm,steric_centered_mm,steric_smoothed_mm,steric_detrended_centered_mm,steric_detrended_smoothed_mm,csr_reference_centered_mm,csr_reference_smoothed_mm,csr_reference_detrended_centered_mm,csr_reference_detrended_smoothed_mm,custom_l3_centered_mm,custom_l3_smoothed_mm,custom_l3_detrended_centered_mm,custom_l3_detrended_smoothed_mm,forward_centered_mm,forward_smoothed_mm,forward_detrended_centered_mm,forward_detrended_smoothed_mm,budget_sum_centered_mm,budget_sum_smoothed_mm,budget_sum_detrended_centered_mm,budget_sum_detrended_smoothed_mm,gmsl_display_panel_a_mm,gmsl_display_panel_b_mm,custom_l3_display_panel_a_mm,custom_l3_display_panel_b_mm,steric_display_panel_a_mm,steric_display_panel_b_mm,budget_sum_display_panel_a_mm,budget_sum_display_panel_b_mm
2013-11,65.2840459394,-4.71316091716,12.3857909322,-4.33020761878,1.95561198726,1,0,1,1,0,1,65.2840459394,65.2840459394,-4.33020761878,0,-20.835093326,-20.6364027346,-3.29394487402,-3.22915617925,-7.20371119912,-7.42760005036,0.917077800295,0.631198193332,-6.30407398258,-7.54133074822,1.05726088277,-0.231307627121,-11.6220459405,-11.550550923,-4.04881466916,-4.03513057742,-6.01554650911,-5.77751107371,-5.17199072541,-4.93983524513,-18.8257571396,-18.9781509733,-3.13173686886,-3.40393238408,-20.6364027346,-3.22915617925,-21.550550923,-9.03513057742,-27.4276000504,-9.36880180667,-18.9781509733,-3.40393238408
2013-12,62.4772986488,-3.71015025303,4.84068297689,-7.77485131732,-1.31048508793,1,0,1,1,0,1,62.4427986488,62.4427986488,-7.77485131732,0,-20.4377121433,-20.3446547035,-3.16436748449,-3.07131004473,-7.6514889016,-7.80470414117,0.345318586369,0.192103346804,-8.77858751385,-8.56340016419,-1.51987613701,-1.30468878734,-11.4790559055,-11.4833176404,-4.02144648567,-4.0257082206,-5.53947563831,-5.7692477801,-4.70767976485,-4.93745190664,-19.1305448071,-19.2880217816,-3.6761278993,-3.8336048738,-20.3446547035,-3.07131004473,-21.4833176404,-9.0257082206,-27.8047041412,-9.8078966532,-19.2880217816,-3.8336048738
2014-01,59.7112559833,-3.20921652019,-1.91633987421,-13.4945540175,-7.86907709537,1,0,1,1,0,1,59.6422559833,59.6422559833,-13.4945540175,0,-19.7611586413,-19.6053693989,-2.75561777567,-2.59982853325,-8.55891232278,-8.36686812238,-0.686086346253,-0.494042145847,-10.6075389961,,-3.45145110779,,-11.3488510753,-10.2733574064,-4.00686350698,-2.93136983799,-5.75272119288,,-4.93268522966,,-19.9077633981,-18.6402255287,-4.69294985323,-3.42541198384,-19.6053693989,-2.59982853325,-20.2733574064,-7.93136983799,-28.3668681224,-10.4940421458,-18.6402255287,-3.42541198384
2014-02,58.0494712121,-1.7210142687,,-13.9340742629,,0,1,1,0,0,0,57.9459712121,57.9459712121,-13.9340742629,0,-18.6172374121,-18.9842062672,-1.8795003396,-2.24646919476,-8.89020314274,-8.88214091583,-1.14135867766,-1.13329645074,,,,,-7.99216523823,-11.3301923011,-0.765799521331,-4.10382658417,,,,,-16.882368381,-20.2123332169,-1.90715819899,-5.23712303491,-18.9842062672,-2.24646919476,-21.3301923011,-9.10382658417,-28.8821409158,-11.1332964507,-20.2123332169,-5.23712303491
2014-03,55.9436329527,0.857906765305,0.327725559279,-23.1774134648,-17.6075814799,1,0,1,1,0,1,55.8056329527,55.8056329527,-23.1774134648,0,-18.5742227483,-18.6934778206,-2.10428946902,-2.22354454133,-9.19730728195,-8.73304522578,-1.5724443283,-1.10818227214,-9.44796161117,,-2.49712069984,,-14.6495605896,-11.6315743809,-7.53881672422,-4.52083051543,-9.36714216272,,-8.57062601998,,-23.8468678716,-20.3646196066,-9.11126105252,-5.62901278757,-18.6934778206,-2.22354454133,-21.6315743809,-9.52083051543,-28.7330452258,-11.1081822721,-20.3646196066,-5.62901278757
2014-04,54.4639410794,2.99260602333,0.762651140998,-23.2297400816,-17.992652824,1,0,1,1,0,1,54.2914410794,54.2914410794,-23.2297400816,0,-18.8889733015,-18.7345102085,-2.68684381536,-2.53238072232,-8.11162525266,-8.25326559458,-0.61074381045,-0.752384152375,-7.30129575106,-9.20056322199,-0.45307832824,-2.35234579917,-12.2529973147,-13.2616493015,-5.25787530075,-6.26652728753,-6.81271942048,-8.01045501447,-6.02796318798,-7.22569878197,-20.3646225674,-21.5149148961,-5.8686191112,-7.01891143991,-18.7345102085,-2.53238072232,-23.2616493015,-11.2665272875,-28.2532655946,-10.7523841524,-21.5149148961,-7.01891143991
2014-05,53.8604384564,2.50142114237,-1.05606298999,-21.9198492082,-16.8352637257,1,0,1,1,0,1,53.6534384564,53.6534384564,-21.9198492082,0,-18.7403345756,-18.6725083158,-2.8060088826,-2.73818262286,-7.45086424914,-7.41129456175,-0.0739643183723,-0.0343946309813,-10.8524323037,-8.97709773669,-4.10683836943,-2.23150380238,-12.8823900001,-11.551770764,-6.00288983764,-4.67227060156,-7.85150346021,-5.96832702121,-7.07850713795,-5.19533069895,-20.3332542493,-18.9630653258,-6.07685415601,-4.70666523254,-18.6725083158,-2.73818262286,-21.551770764,-9.67227060156,-27.4112945617,-10.034394631,-18.9630653258,-4.70666523254
2014-06,54.8192031637,-0.413374247728,8.91739253089,-14.5047919802,-8.51206015407,1,0,1,1,0,1,54.5777031637,54.5777031637,-14.5047919802,0,-18.3882170704,-18.0196673062,-2.72169517062,-2.35314540638,-6.67139418345,-7.11629908541,0.581524235878,0.136619333909,-8.77756515526,,-2.13459470946,,-9.51992497731,-9.57359041549,-2.7560466663,-2.80971210447,-3.24075818294,,-2.47952177093,,-16.1913191608,-16.6898895009,-2.17452243042,-2.67309277057,-18.0196673062,-2.35314540638,-19.5735904155,-7.80971210447,-27.1162990854,-9.86338066609,-16.6898895009,-2.67309277057
2014-07,58.5942956132,-4.89579886198,,-3.22052615319,,0,1,1,0,0,0,58.3182956132,58.3182956132,-3.22052615319,0,-16.9304502726,-17.8765113344,-1.53173216592,-2.47779322772,-7.22663882366,-6.90423116578,-0.0977019157786,0.224705742105,,,,,-6.31845626903,-8.78266483248,0.32980019051,-2.13440837294,,,,,-13.5450950927,-15.6868959983,0.232098274731,-1.90970263083,-17.8765113344,-2.47779322772,-18.7826648325,-7.13440837294,-26.9042311658,-9.77529425789,-15.6868959983,-1.90970263083
2014-08,60.6774765831,-7.07381451502,18.1440078809,-4.42354563445,1.54640574281,1,0,1,1,0,1,60.3669765831,60.3669765831,-4.42354563445,0,-18.3108666601,-17.7518607273,-3.17995234663,-2.6209464138,-6.81466049022,-7.2021076607,0.190294906216,-0.197152264263,-8.4499522074,,-2.01222873861,,-10.5096132511,-8.79243794228,-3.97697864302,-2.2598033342,-5.80671331487,,-5.06899672333,,-17.3242737413,-15.994545603,-3.7866837368,-2.45695559847,-17.7518607273,-2.6209464138,-18.7924379423,-7.2598033342,-27.2021076607,-10.1971522643,-15.994545603,-2.45695559847
