month,valid_month,reconstructed_month,effective_month,ocean_mean_ewh_mm,source_l2_file
2013-11,1,0,1,-4.33020761878,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2013305-2013334_GRAC_UTCSR_BA01_0600.gfc
2013-12,1,0,1,-7.77485131732,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2013335-2013365_GRAC_UTCSR_BA01_0600.gfc
2014-01,1,0,1,-13.4945540175,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2014001-2014016_GRAC_UTCSR_BA01_0600.gfc
2014-02,0,1,1,-13.9340742629,
2014-03,1,0,1,-23.1774134648,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2014062-2014090_GRAC_UTCSR_BA01_0600.gfc
2014-04,1,0,1,-23.2297400816,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2014091-2014120_GRAC_UTCSR_BA01_0600.gfc
2014-05,1,0,1,-21.9198492082,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2014121-2014151_GRAC_UTCSR_BA01_0600.gfc
2014-06,1,0,1,-14.5047919802,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2014152-2014175_GRAC_UTCSR_BA01_0600.gfc
2014-07,0,1,1,-3.22052615319,
2014-08,1,0,1,-4.42354563445,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2014213-2014243_GRAC_UTCSR_BA01_0600.gfc
2014-09,1,0,1,-1.33094137812,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2014244-2014273_GRAC_UTCSR_BA01_0600.gfc
2014-10,1,0,1,-1.1129497649,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2014274-2014304_GRAC_UTCSR_BA01_0600.gfc
2014-11,1,0,1,-2.50603519865,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2014305-2014334_GRAC_UTCSR_BA01_0600.gfc
2014-12,0,1,1,-1.86070244329,
2015-01,1,0,1,-9.24544239518,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2015013-2015031_GRAC_UTCSR_BA01_0600.gfc
2015-02,1,0,1,-12.3348661145,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2015032-2015059_GRAC_UTCSR_BA01_0600.gfc
2015-03,1,0,1,-14.3725023191,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2015060-2015090_GRAC_UTCSR_BA01_0600.gfc
2015-04,1,0,1,-15.8272247272,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2015091-2015120_GRAC_UTCSR_BA01_0600.gfc
2015-05,0,1,1,-13.0926035503,
2015-06,0,1,1,-7.69714606815,
2015-07,1,0,1,-2.14624759229,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2015180-2015212_GRAC_UTCSR_BA01_0600.gfc
2015-08,1,0,1,3.77820282045,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2015213-2015243_GRAC_UTCSR_BA01_0600.gfc
2015-09,1,0,1,8.41239568343,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2015244-2015270_GRAC_UTCSR_BA01_0600.gfc
2015-10,0,1,1,5.78126579076,
2015-11,0,1,1,4.24960507826,
2015-12,1,0,1,0.955898815655,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2015345-2016003_GRAC_UTCSR_BA01_0600.gfc
2016-01,1,0,1,-3.84973028494,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2016004-2016028_GRAC_UTCSR_BA01_0600.gfc
2016-02,1,0,1,-5.07413299942,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2016029-2016060_GRAC_UTCSR_BA01_0600.gfc
2016-03,1,0,1,-7.60590065847,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2016061-2016091_GRAC_UTCSR_BA01_0600.gfc
2016-04,0,1,1,-12.1659621738,
