time,gmsl,barystatic,steric,oni,sum
2013-11-15,-4.3146996029251,0.5505803900763073,0.4301422988382016,-0.12,0.9807226889145089
2013-12-15,-4.588410588052051,-1.9296726367604926,0.18506825806419644,-0.11,-1.7446043786962961
2014-01-15,-3.9976278810807884,-3.171756037959929,-0.388332576191191,-0.24,-3.56008861415112
2014-02-15,-2.919781229649177,-2.7722393684772286,-1.0813964635408282,-0.21,-3.853635832018057
2014-03-15,-2.794422190215345,-1.3582142681478886,-1.219145304480676,-0.02,-2.5773595726285645
2014-04-15,-4.000907532361298,-2.949086599650909,-0.7368124124139529,0.25,-3.6858990120648616
2014-05-15,-4.996462415615679,-3.253455930679411,0.025113525750987277,0.35,-3.2283424049284237
2014-06-15,-4.669968238446652,-3.600707073135805,0.2459356869691713,0.22,-3.3547713861666337
2014-07-15,-4.225853892647573,-1.9494535426214812,0.060496059822629254,0.07,-1.888957482798852
2014-08-15,-4.261897355694233,-2.6166336250082654,-0.14677098713981912,0.07,-2.7634046121480846
2014-09-15,-4.652990602136462,-2.3393358215524467,-0.09059998301794847,0.24,-2.429935804570395
2014-10-15,-4.6143539935437845,-2.7522121833479813,-0.8294851957042172,0.51,-3.5816973790521986
2014-11-15,-3.9544519633280757,-2.2007938507063547,-1.0366349746599162,0.7,-3.237428825366271
2014-12-15,-3.16879601835893,-1.7255609953749378,-1.6564399139528787,0.8,-3.3820009093278163
2015-01-15,-1.4496418829489077,0.5644788262729451,-1.1434703095896013,0.73,-0.5789914833166562
2015-02-15,0.5277385068764602,2.1218212360490396,-0.6076201052652426,0.65,1.514201130783797
2015-03-15,2.2760585715042367,3.18347639284655,0.30790496445148535,0.72,3.4913813572980357
2015-04-15,2.985249755953982,2.7861509217627636,1.479488699215428,0.86,4.265639620978192
2015-05-15,3.063258716013104,3.086371334394454,1.53585686875919,1.04,4.622228203153644
2015-06-15,3.883105209910042,3.326346574059351,2.1665748460967604,1.19,5.492921420156112
2015-07-15,4.56048438312304,4.034862796709712,2.732462942214913,1.44,6.767325738924625
2015-08-15,5.8599528873774265,4.425450031555184,3.9071913184449345,1.73,8.332641350000118
2015-09-15,6.384009245825159,4.235405648597667,4.027833971805646,2.02,8.263239620403313
2015-10-15,6.9768986627298375,3.519993532963394,3.697723117339775,2.28,7.217716650303169
2015-11-15,6.33649635344824,3.061850468482819,3.163703227217576,2.45,6.225553695700395
2015-12-15,5.804805099993875,2.70298257822085,3.1204788327030704,2.59,5.823461410923921
2016-01-15,5.714777945988184,3.3257952246767672,2.635097799440989,2.5,5.960893024117756
2016-02-15,6.451387486745763,5.054822045912012,2.53834078092019,2.21,7.593162826832202
2016-03-15,6.4632116433151054,6.267554157704226,1.866405334616262,1.69,8.133959492320487
2016-04-15,5.410277097539383,5.620953243177102,1.227763140838387,1.11,6.848716384015488
2016-05-15,3.8782855757393166,4.39383727538609,-0.29649110060162964,0.57,4.097346174784461
2016-06-15,2.128464221495946,3.6253336429047787,-1.3336833302494084,0.09,2.2916503126553702
2016-07-15,0.23998029430759496,2.364584027375664,-2.220839437551735,-0.19,0.14374458982392913
2016-08-15,-1.3564404588490029,1.0858555479391778,-1.8065645525605905,-0.34,-0.7207090046214126
2016-09-15,-2.258104700816621,0.006454950762798006,-2.1421484134642004,-0.42,-2.1356934627014024
2016-10-15,-1.381957494559373,0.049966554701665444,-1.453586435642222,-0.51,-1.4036198809405565
2016-11-15,-0.914619721179245,0.04792336098154121,-1.455790222540399,-0.49,-1.4078668615588577
2016-12-15,-1.0233321190374198,-1.6656145571019425,-0.05303812364041191,-0.37,-1.7186526807423543
2017-01-15,-2.2643743498346773,-1.5942324427564658,0.09034166490439305,-0.08,-1.5038907778520727
2017-02-15,-2.7493091839618415,-1.4971743006959604,0.11648841497766119,0.08,-1.380685885718299
2017-03-15,-2.1516297984043717,0.6215776643021572,-0.3831567011944186,0.27,0.23842096310773864
2017-04-15,-1.3954023795139958,0.9996216470640189,-0.22798633132943769,0.32,0.7716353157345812
2017-05-15,-1.3322891759990416,0.10711797345535481,-0.28309064426826924,0.35,-0.17597267081291443
2017-06-15,-1.4811849301945632,-1.1463354058175619,0.09081018546790476,0.32,-1.055525220349657
2017-07-15,-1.09694368313689,-2.317690505500457,-0.11062141443799905,0.14,-2.428311919938456
2017-08-15,-0.4408097613766083,-3.0141992805075697,-0.20737313599263718,-0.07,-3.221572416500207
2017-09-15,-0.3287459332661721,-3.576517810520369,-0.6131159032548512,-0.23,-4.18963371377522
2017-10-15,-0.043698859480253816,-3.940807920239578,-0.8474550059661132,-0.44,-4.788262926205691
2017-11-15,0.5083704797942232,-4.198070509175993,-1.3921288140376482,-0.61,-5.590199323213642
2017-12-15,1.2301626484321369,-4.249093149248312,-1.9214166496585812,-0.76,-6.170509798906893
2018-01-15,0.7230678030041938,-3.8190848769010857,-2.218389234326972,-0.71,-6.037474111228057
2018-02-15,-0.4114249494380099,-2.955169913905899,-1.7618364130080346,-0.67,-4.717006326913934
2018-03-15,-1.1868718091340942,-2.1708409167287748,-1.5641444382110294,-0.55,-3.734985354939804
2018-04-15,-1.2404313514625187,-1.8101025432515265,-1.9319955130243562,-0.35,-3.742098056275883
2018-05-15,-0.817444656376035,-2.24489012986232,-2.0297507522004947,-0.07,-4.274640882062815
2018-06-15,-0.44015135644231873,-1.7215558492657916,-1.7396805472055124,0.13,-3.461236396471304
2018-07-15,-0.4769799868062326,-1.5487709896441306,-1.5466438737647934,0.2,-3.095414863408924
2018-08-15,-0.7010637469372464,-1.101631203572482,-1.4824946417831968,0.3,-2.584125845355679
2018-09-15,-0.2618624435695409,-1.799599584446613,-1.6342818785964381,0.52,-3.4338814630430514
2018-10-15,0.1328902008566833,-1.8362612096971986,-1.0140103703215715,0.82,-2.85027158001877
2018-11-15,0.5063773892505973,-2.244837690328526,0.25109615231452387,1.04,-1.993741538014002
2018-12-15,0.2586042206488343,-1.080037974086552,1.5651800775116116,1.05,0.4851421034250596
2019-01-15,0.8895936610363814,-0.9145619897494501,2.2050385397479673,0.99,1.2904765499985171
2019-02-15,1.965557009225037,0.9904025378927332,2.276731154671517,0.94,3.2671336925642507
