month,gsfc_ocean_mass_reference_mm,source_decimal_year,ocean_mascon_count,original_gsfc_ocean_mass_reference_mm,filled_gsfc_ocean_mass_reference_mm,fill_status,ssa_category,ssa_M,ssa_K
2013-11,19.00606507814942,2013.874,23417,19.00606507814942,19.00606507814942,observed,observed,,
2013-12,8.65196779167644,2013.9575,23417,8.65196779167644,8.65196779167644,observed,observed,,
2014-01,-0.8060585942227024,2014.0219,23417,-0.8060585942227024,-0.8060585942227024,observed,observed,,
2014-02,nan,nan,0,nan,3.3271507756481817,filled,SSA-filling-a,24,10
2014-03,5.697311729019802,2014.2068,23417,5.697311729019802,5.697311729019802,observed,observed,,
2014-04,7.138007169377837,2014.2877,23417,7.138007169377837,7.138007169377837,observed,observed,,
2014-05,2.8847684117475865,2014.3712,23417,2.8847684117475865,2.8847684117475865,observed,observed,,
2014-06,14.508334404246213,2014.4466,23417,14.508334404246213,14.508334404246213,observed,observed,,
2014-07,nan,nan,0,nan,23.487816285121088,filled,SSA-filling-a,24,10
2014-08,29.372657914228583,2014.6233,23417,29.372657914228583,29.372657914228583,observed,observed,,
2014-09,26.22939199872626,2014.7068,23417,26.22939199872626,26.22939199872626,observed,observed,,
2014-10,24.096510115139058,2014.7904,23417,24.096510115139058,24.096510115139058,observed,observed,,
2014-11,15.20247528281769,2014.874,23417,15.20247528281769,15.20247528281769,observed,observed,,
2014-12,nan,nan,0,nan,8.535761383347381,filled,SSA-filling-a,24,10
2015-01,6.858857530632762,2015.0589,23417,6.858857530632762,6.858857530632762,observed,observed,,
2015-02,10.299616583843054,2015.1233,23417,10.299616583843054,10.299616583843054,observed,observed,,
2015-03,9.558659322035762,2015.2041,23417,9.558659322035762,9.558659322035762,observed,observed,,
2015-04,13.423220991112728,2015.2753,23417,13.423220991112728,13.423220991112728,observed,observed,,
2015-05,nan,nan,0,nan,15.556186536005153,filled,SSA-filling-a,24,10
2015-06,nan,nan,0,nan,24.382883885441146,filled,SSA-filling-a,24,10
2015-07,33.92940484012045,2015.5356,23417,33.92940484012045,33.92940484012045,observed,observed,,
2015-08,38.60586173262771,2015.6233,23417,38.60586173262771,38.60586173262771,observed,observed,,
2015-09,38.969332834019404,2015.7027,23417,38.969332834019404,38.969332834019404,observed,observed,,
2015-10,nan,nan,0,nan,33.68933901379728,filled,SSA-filling-a,24,10
2015-11,nan,nan,0,nan,27.254399656701118,filled,SSA-filling-a,24,10
2015-12,18.00300989920338,2015.9753,23417,18.00300989920338,18.00300989920338,observed,observed,,
2016-01,14.441759336042034,2016.0423,23417,14.441759336042034,14.441759336042034,observed,observed,,
2016-02,15.190436912060909,2016.1202,23417,15.190436912060909,15.190436912060909,observed,observed,,
2016-03,19.97148210934738,2016.2063,23417,19.97148210934738,19.97148210934738,observed,observed,,
2016-04,nan,nan,0,nan,17.785858692061044,filled,SSA-filling-a,24,10
2016-05,17.937272982253955,2016.3825,23417,17.937272982253955,17.937272982253955,observed,observed,,
2016-06,26.07420710846317,2016.4563,23417,26.07420710846317,26.07420710846317,observed,observed,,
2016-07,35.00269502313188,2016.5369,23417,35.00269502313188,35.00269502313188,observed,observed,,
2016-08,33.50657516144782,2016.638,23417,33.50657516144782,33.50657516144782,observed,observed,,
2016-09,nan,nan,0,nan,31.956673425340213,filled,SSA-filling-a,24,10
2016-10,nan,nan,0,nan,27.975798703952318,filled,SSA-filling-a,24,10
2016-11,21.852766901691098,2016.9057,23417,21.852766901691098,21.852766901691098,observed,observed,,
2016-12,18.748075255617536,2016.9795,23417,18.748075255617536,18.748075255617536,observed,observed,,
2017-01,6.4296645277507745,2017.0548,23417,6.4296645277507745,6.4296645277507745,observed,observed,,
2017-02,nan,nan,0,nan,9.926965160824196,filled,SSA-filling-a,24,10
2017-03,13.383417168647837,2017.2425,23417,13.383417168647837,13.383417168647837,observed,observed,,
2017-04,15.221951246442782,2017.311,23417,15.221951246442782,15.221951246442782,observed,observed,,
2017-05,18.52500896632252,2017.3658,23417,18.52500896632252,18.52500896632252,observed,observed,,
2017-06,24.199860452286952,2017.4397,23417,24.199860452286952,24.199860452286952,observed,observed,,
2017-07,nan,nan,0,nan,31.707306070202964,filled,SSA-filling-b,36,4
2017-08,nan,nan,0,nan,34.1960322931918,filled,SSA-filling-b,36,4
2017-09,nan,nan,0,nan,33.543605138361926,filled,SSA-filling-b,36,4
2017-10,nan,nan,0,nan,29.92602760986584,filled,SSA-filling-b,36,4
2017-11,nan,nan,0,nan,24.341693761279735,filled,SSA-filling-b,36,4
2017-12,nan,nan,0,nan,18.309944721088026,filled,SSA-filling-b,36,4
2018-01,nan,nan,0,nan,13.484399956921742,filled,SSA-filling-b,36,4
2018-02,nan,nan,0,nan,11.199941742870978,filled,SSA-filling-b,36,4
2018-03,nan,nan,0,nan,12.126159704461784,filled,SSA-filling-b,36,4
2018-04,nan,nan,0,nan,16.078453760915387,filled,SSA-filling-b,36,4
2018-05,nan,nan,0,nan,22.061818753082715,filled,SSA-filling-b,36,4
2018-06,23.296274135762122,2018.4548,23417,23.296274135762122,23.296274135762122,observed,observed,,
2018-07,34.683851321954535,2018.5205,23417,34.683851321954535,34.683851321954535,observed,observed,,
2018-08,nan,nan,0,nan,37.488998013259774,filled,SSA-filling-a,24,10
2018-09,nan,nan,0,nan,35.56592151814847,filled,SSA-filling-a,24,10
2018-10,31.30326092794876,2018.8315,23417,31.30326092794876,31.30326092794876,observed,observed,,
2018-11,25.05624090605788,2018.8863,23417,25.05624090605788,25.05624090605788,observed,observed,,
2018-12,16.148651060839875,2018.9575,23417,16.148651060839875,16.148651060839875,observed,observed,,
2019-01,19.034645815534113,2019.0342,23417,19.034645815534113,19.034645815534113,observed,observed,,
2019-02,16.10266318815219,2019.1151,23417,16.10266318815219,16.10266318815219,observed,observed,,
2019-03,19.82557040742888,2019.2041,23417,19.82557040742888,19.82557040742888,observed,observed,,
2019-04,18.480013097934815,2019.2877,23417,18.480013097934815,18.480013097934815,observed,observed,,
2019-05,19.860203529545114,2019.3712,23417,19.860203529545114,19.860203529545114,observed,observed,,
2019-06,34.587074956874375,2019.4548,23417,34.587074956874375,34.587074956874375,observed,observed,,
2019-07,43.35958423273444,2019.5384,23417,43.35958423273444,43.35958423273444,observed,observed,,
2019-08,42.24309421399873,2019.6233,23417,42.24309421399873,42.24309421399873,observed,observed,,
2019-09,45.73603099575389,2019.7068,23417,45.73603099575389,45.73603099575389,observed,observed,,
2019-10,37.72981567138777,2019.7904,23417,37.72981567138777,37.72981567138777,observed,observed,,
2019-11,28.736983223543884,2019.874,23417,28.736983223543884,28.736983223543884,observed,observed,,
2019-12,23.540365140839135,2019.9575,23417,23.540365140839135,23.540365140839135,observed,observed,,
2020-01,20.30986725793034,2020.0423,23417,20.30986725793034,20.30986725793034,observed,observed,,
2020-02,16.76561125528056,2020.1243,23417,16.76561125528056,16.76561125528056,observed,observed,,
2020-03,22.179255646929413,2020.2063,23417,22.179255646929413,22.179255646929413,observed,observed,,
2020-04,16.167931106164556,2020.2896,23417,16.167931106164556,16.167931106164556,observed,observed,,
2020-05,20.540704939448077,2020.373,23417,20.540704939448077,20.540704939448077,observed,observed,,
2020-06,33.545983487141925,2020.4563,23417,33.545983487141925,33.545983487141925,observed,observed,,
2020-07,42.022302513651404,2020.5396,23417,42.022302513651404,42.022302513651404,observed,observed,,
2020-08,44.41131589850954,2020.6243,23417,44.41131589850954,44.41131589850954,observed,observed,,
2020-09,37.974235388384535,2020.7077,23417,37.974235388384535,37.974235388384535,observed,observed,,
2020-10,37.80601033456912,2020.791,23417,37.80601033456912,37.80601033456912,observed,observed,,
2020-11,29.901127415785428,2020.8743,23417,29.901127415785428,29.901127415785428,observed,observed,,
