month,jpl_ocean_mass_reference_mm,jpl_ocean_mass_uncertainty_mean_mm,source_time_days,ocean_cell_count,original_jpl_ocean_mass_reference_mm,filled_jpl_ocean_mass_reference_mm,fill_status,ssa_category,ssa_M,ssa_K
2013-11,18.16106048971373,14.302204910051408,4337.0,121253,18.16106048971373,18.16106048971373,observed,observed,,
2013-12,8.156231751015218,14.713114038365594,4367.5,121253,8.156231751015218,8.156231751015218,observed,observed,,
2014-01,1.585612849475035,16.35861262527718,4391.5,121253,1.585612849475035,1.585612849475035,observed,observed,,
2014-02,nan,nan,nan,0,nan,5.6028857728052905,filled,SSA-filling-a,24,10
2014-03,7.616934227999404,13.691700052999755,4457.5,121253,7.616934227999404,7.616934227999404,observed,observed,,
2014-04,7.472771852365967,13.834230604108303,4488.0,121253,7.472771852365967,7.472771852365967,observed,observed,,
2014-05,3.7142788549316355,13.641683317463244,4518.5,121253,3.7142788549316355,3.7142788549316355,observed,observed,,
2014-06,16.211959542236812,14.456754450436332,4546.0,121253,16.211959542236812,16.211959542236812,observed,observed,,
2014-07,nan,nan,nan,0,nan,24.127559971507758,filled,SSA-filling-a,24,10
2014-08,28.618381013276863,13.719833285146056,4610.5,121253,28.618381013276863,28.618381013276863,observed,observed,,
2014-09,25.04043672019708,13.6563291934073,4641.0,121253,25.04043672019708,25.04043672019708,observed,observed,,
2014-10,22.777391269433007,13.410414109380403,4671.5,121253,22.777391269433007,22.777391269433007,observed,observed,,
2014-11,15.33010011294167,13.549071551092077,4703.0,121253,15.33010011294167,15.33010011294167,observed,observed,,
2014-12,nan,nan,nan,0,nan,9.564573721620693,filled,SSA-filling-a,24,10
2015-01,8.469626825706404,15.535016442223156,4769.5,121253,8.469626825706404,8.469626825706404,observed,observed,,
2015-02,12.995451884922119,25.799677975845203,4793.0,121253,12.995451884922119,12.995451884922119,observed,observed,,
2015-03,11.393377956038758,13.275501591804039,4822.5,121253,11.393377956038758,11.393377956038758,observed,observed,,
2015-04,14.965322262262111,13.430054482193666,4853.0,121253,14.965322262262111,14.965322262262111,observed,observed,,
2015-05,nan,nan,nan,0,nan,16.965176554523694,filled,SSA-filling-a,24,10
2015-06,nan,nan,nan,0,nan,25.595683611056216,filled,SSA-filling-a,24,10
2015-07,33.748936084540645,14.608856061723479,4943.5,121253,33.748936084540645,33.748936084540645,observed,observed,,
2015-08,38.572536089862524,13.594476204743051,4975.5,121253,38.572536089862524,38.572536089862524,observed,observed,,
