month,jpl_ocean_mass_reference_mm,jpl_ocean_mass_uncertainty_mean_mm,source_time_days,ocean_cell_count,original_jpl_ocean_mass_reference_mm,filled_jpl_ocean_mass_reference_mm,fill_status,ssa_category,ssa_M,ssa_K
2013-11,18.13822891160594,14.302204910051415,4337.0,121253,18.13822891160594,18.13822891160594,observed,observed,,
2013-12,8.135077109247753,14.713114038365594,4367.5,121253,8.135077109247753,8.135077109247753,observed,observed,,
2014-01,1.5646215442803038,16.358612625277175,4391.5,121253,1.5646215442803038,1.5646215442803038,observed,observed,,
2014-02,nan,nan,nan,0,nan,5.581073291215311,filled,SSA-filling-a,24,10
2014-03,7.593371497270773,13.691700052999762,4457.5,121253,7.593371497270773,7.593371497270773,observed,observed,,
2014-04,7.448318129621993,13.834230604108305,4488.0,121253,7.448318129621993,7.448318129621993,observed,observed,,
2014-05,3.6901278240763644,13.641683317463245,4518.5,121253,3.6901278240763644,3.6901278240763644,observed,observed,,
2014-06,16.183422108364972,14.456754450436327,4546.0,121253,16.183422108364972,16.183422108364972,observed,observed,,
2014-07,nan,nan,nan,0,nan,24.097068272407853,filled,SSA-filling-a,24,10
2014-08,28.58727846728065,13.719833285146054,4610.5,121253,28.58727846728065,28.58727846728065,observed,observed,,
2014-09,25.01134911480441,13.656329193407304,4641.0,121253,25.01134911480441,25.01134911480441,observed,observed,,
2014-10,22.748821866708333,13.410414109380405,4671.5,121253,22.748821866708333,22.748821866708333,observed,observed,,
2014-11,15.30418281515012,13.549071551092078,4703.0,121253,15.30418281515012,15.30418281515012,observed,observed,,
2014-12,nan,nan,nan,0,nan,9.539456740757117,filled,SSA-filling-a,24,10
2015-01,8.445398775718944,15.535016442223153,4769.5,121253,8.445398775718944,8.445398775718944,observed,observed,,
2015-02,12.967927483917867,25.79967797584521,4793.0,121253,12.967927483917867,12.967927483917867,observed,observed,,
2015-03,11.367627923257778,13.27550159180404,4822.5,121253,11.367627923257778,11.367627923257778,observed,observed,,
2015-04,14.94007243117237,13.430054482193663,4853.0,121253,14.94007243117237,14.94007243117237,observed,observed,,
2015-05,nan,nan,nan,0,nan,16.93653766629663,filled,SSA-filling-a,24,10
2015-06,nan,nan,nan,0,nan,25.56321064832231,filled,SSA-filling-a,24,10
2015-07,33.7153004867959,14.608856061723479,4943.5,121253,33.7153004867959,33.7153004867959,observed,observed,,
2015-08,38.537245498362616,13.594476204743053,4975.5,121253,38.537245498362616,38.537245498362616,observed,observed,,
